"","ymd","ym","year","code","addr_1","apt_nm","juso_jibun","price","con_year","area","floor","py","cnt"
"43",2022-02-21,2022-02-01,"2022","42130","강원_원주","원주신일유토빌","강원도 원주시 우산동 821 원주신일유토빌",23700,2012,85,18,920,1
"44",2022-02-24,2022-02-01,"2022","42130","강원_원주","동보렉스1","강원도 원주시 우산동 333-9 동보렉스1",9300,1988,85,3,361,1
"45",2022-02-25,2022-02-01,"2022","42130","강원_원주","동보렉스1","강원도 원주시 우산동 333-9 동보렉스1",5350,1988,44,4,401,1
"46",2022-02-26,2022-02-01,"2022","42130","강원_원주","동보렉스2","강원도 원주시 우산동 333-48 동보렉스2",6750,1989,55,1,405,1
"47",2022-02-28,2022-02-01,"2022","42130","강원_원주","원주신일유토빌","강원도 원주시 우산동 821 원주신일유토빌",22200,2012,85,15,862,1
"48",2022-02-28,2022-02-01,"2022","42130","강원_원주","원주신일유토빌","강원도 원주시 우산동 821 원주신일유토빌",23000,2012,85,15,893,1
"49",2022-02-03,2022-02-01,"2022","42130","강원_원주","이안원주태장","강원도 원주시 태장동 2793 이안원주태장",32900,2019,85,19,1277,1
"50",2022-02-03,2022-02-01,"2022","42130","강원_원주","태장동보렉스","강원도 원주시 태장동 128-1 태장동보렉스",11500,1997,74,8,513,1
"51",2022-02-03,2022-02-01,"2022","42130","강원_원주","태장주공3","강원도 원주시 태장동 2708 태장주공3",3800,1997,39,1,322,1
"52",2022-02-03,2022-02-01,"2022","42130","강원_원주","태봉우성2","강원도 원주시 태장동 1266-6 태봉우성2",9000,1992,73,2,407,1
"53",2022-02-03,2022-02-01,"2022","42130","강원_원주","두진백로","강원도 원주시 태장동 546 두진백로",8500,1999,59,4,475,1
"54",2022-02-03,2022-02-01,"2022","42130","강원_원주","이안원주태장","강원도 원주시 태장동 2793 이안원주태장",24000,2019,60,15,1320,1
"55",2022-02-03,2022-02-01,"2022","42130","강원_원주","흥화브라운빌","강원도 원주시 태장동 2716 흥화브라운빌",17800,2006,85,7,691,1
"56",2022-02-05,2022-02-01,"2022","42130","강원_원주","두진백로","강원도 원주시 태장동 546 두진백로",3000,1999,28,2,354,1
"57",2022-02-05,2022-02-01,"2022","42130","강원_원주","태장동성호아파트","강원도 원주시 태장동 129 태장동성호아파트",7250,1998,50,3,478,1
"58",2022-02-05,2022-02-01,"2022","42130","강원_원주","태장동보렉스","강원도 원주시 태장동 128-1 태장동보렉스",13000,1995,71,20,604,1
"59",2022-02-05,2022-02-01,"2022","42130","강원_원주","백운3차","강원도 원주시 태장동 1836 백운3차",5500,2000,49,2,370,1
"60",2022-02-06,2022-02-01,"2022","42130","강원_원주","두진백로","강원도 원주시 태장동 546 두진백로",6900,1999,59,1,386,1
"61",2022-02-07,2022-02-01,"2022","42130","강원_원주","태장동성호아파트","강원도 원주시 태장동 129 태장동성호아파트",8300,1998,50,13,548,1
"62",2022-02-07,2022-02-01,"2022","42130","강원_원주","상록아파트","강원도 원주시 태장동 971 상록아파트",7300,1992,59,1,408,1
"63",2022-02-07,2022-02-01,"2022","42130","강원_원주","대흥2","강원도 원주시 태장동 1040-8 대흥2",8900,1995,60,4,490,1
"64",2022-02-08,2022-02-01,"2022","42130","강원_원주","e편한세상원주태장","강원도 원주시 태장동 2731 e편한세상원주태장",26000,2018,75,5,1144,1
"65",2022-02-08,2022-02-01,"2022","42130","강원_원주","금광포란재1단지","강원도 원주시 태장동 580 금광포란재1단지",13900,2006,60,2,764,1
"66",2022-02-09,2022-02-01,"2022","42130","강원_원주","금광포란재1단지","강원도 원주시 태장동 580 금광포란재1단지",13350,2006,60,14,734,1
"67",2022-02-10,2022-02-01,"2022","42130","강원_원주","금광포란재1단지","강원도 원주시 태장동 580 금광포란재1단지",15500,2006,85,17,602,1
